,vid_name,channel_name,publishedAt ,views,likes,commentCount,vidID,Playlist_id,Playlist_name,Subscribers
330,J Balvin - Tranquila (Official Video),jbalvinVEVO,2012-12-18T16:53:34Z,499088856,2137727,92309,HWyEEj2pSt0,FLt-k6JwNWHMXDBGm9IYHdsg,Favorites,34000000
331,Video J Balvin Es el Artista del año 2012 - Premios Shock,J Balvin,2012-11-08T17:02:56Z,120829,1195,74,4Ad3ykQQLAU,FLt-k6JwNWHMXDBGm9IYHdsg,Favorites,34000000
332,J Balvin - Tranquila | Official lyrics | Reggaeton Music | @jbalvin,J Balvin,2012-10-15T19:49:35Z,11546392,25045,2263,u_tjvY8wY6U,FLt-k6JwNWHMXDBGm9IYHdsg,Favorites,34000000
333,J Balvin - Me Gustas Tú | Official Video | @jbalvin,J Balvin,2011-02-18T19:51:23Z,35378732,114384,6384,K9BkJSzX9qQ,FLt-k6JwNWHMXDBGm9IYHdsg,Favorites,34000000
334,J Balvin - Como Un Animal (Official Video),jbalvinVEVO,2012-04-24T00:00:08Z,12322523,53509,1873,BWMQ9pc4elE,FLt-k6JwNWHMXDBGm9IYHdsg,Favorites,34000000
335,The Weeknd - Jealous Guy (Music from the HBO Original Series The Idol),The Weeknd,2023-06-23T19:39:22Z,278329,12530,524,tLyR03numQ8,PLK2zhq9oy0K5VsljASObg3QJ-hNwxsB1H,The Idol (Music from the HBO Original Series),32600000
336,Mike Dean - Devil's Paradise (Music from the HBO Original Series The Idol),The Weeknd,2023-06-29T22:14:30Z,49710,3116,168,v0G1-PbyLrI,PLK2zhq9oy0K5VsljASObg3QJ-hNwxsB1H,The Idol (Music from the HBO Original Series),32600000
337,The Weeknd - A Lesser Man (Music from the HBO Original Series The Idol),The Weeknd,2023-06-29T22:14:21Z,55229,4954,338,-WW2Ni24AzU,PLK2zhq9oy0K5VsljASObg3QJ-hNwxsB1H,The Idol (Music from the HBO Original Series),32600000
338,"The Weeknd, Future - Double Fantasy (Music from the HBO Original Series The Idol)",The Weeknd,2023-06-29T22:14:45Z,48952,1821,57,MzLlA9npN2Q,PLK2zhq9oy0K5VsljASObg3QJ-hNwxsB1H,The Idol (Music from the HBO Original Series),32600000
339,The Weeknd - Take Me Back (Music from the HBO Original Series The Idol),The Weeknd,2023-06-29T22:14:53Z,84662,4509,229,sQXI0o2FCHA,PLK2zhq9oy0K5VsljASObg3QJ-hNwxsB1H,The Idol (Music from the HBO Original Series),32600000
340,"The Weeknd, Suzanna Son - Family (Music from the HBO Original Series The Idol)",The Weeknd,2023-06-29T22:14:38Z,58805,4649,289,kzDsr4I6_Z8,PLK2zhq9oy0K5VsljASObg3QJ-hNwxsB1H,The Idol (Music from the HBO Original Series),32600000
341,"The Weeknd, Madonna, Playboi Carti - Popular (Visualizer)",The Weeknd,2023-06-02T04:00:34Z,6913560,224139,8121,xnvkStb2jT0,PLK2zhq9oy0K5VsljASObg3QJ-hNwxsB1H,The Idol (Music from the HBO Original Series),32600000
342,"The Weeknd, Lil Baby, Suzanna Son – False Idols (Official Audio)",The Weeknd,2023-06-30T04:00:25Z,239408,12718,611,_JZW2ET4zQs,PLK2zhq9oy0K5VsljASObg3QJ-hNwxsB1H,The Idol (Music from the HBO Original Series),32600000
343,The Weeknd - Like A God (Official Audio),The Weeknd,2023-06-30T04:00:29Z,193271,10841,614,Zf9dUVTa93s,PLK2zhq9oy0K5VsljASObg3QJ-hNwxsB1H,The Idol (Music from the HBO Original Series),32600000
344,"The Weeknd, JENNIE & Lily Rose Depp - One Of The Girls (Official Audio)",The Weeknd,2023-06-23T04:00:31Z,3540988,210258,18475,f1r0XZLNlGQ,PLK2zhq9oy0K5VsljASObg3QJ-hNwxsB1H,The Idol (Music from the HBO Original Series),32600000
345,The Weeknd - Jealous Guy (Official Audio),The Weeknd,2023-06-23T04:00:26Z,388992,17601,926,VN0pIgNZ61c,PLK2zhq9oy0K5VsljASObg3QJ-hNwxsB1H,The Idol (Music from the HBO Original Series),32600000
346,"The Weeknd, Lily Rose Depp & Ramsey - Fill the Void (Official Audio)",The Weeknd,2023-06-23T04:00:02Z,585763,24993,874,2QMyW1LZBBM,PLK2zhq9oy0K5VsljASObg3QJ-hNwxsB1H,The Idol (Music from the HBO Original Series),32600000
347,The Weeknd - A Lesser Man (Official Audio),The Weeknd,2023-06-19T04:01:06Z,760440,30670,1243,bBqrgxAr_sk,PLK2zhq9oy0K5VsljASObg3QJ-hNwxsB1H,The Idol (Music from the HBO Original Series),32600000
