,vid_name,channel_name,publishedAt ,views,likes,commentCount,vidID,Playlist_id,Playlist_name
587,Selena Gomez - Fetish ft. Gucci Mane (Official Music Video),SelenaGomezVEVO,2017-07-26T16:00:05Z,217437797,2750549,116069,STO4-8vkG0U,PL7A5913233C7361C5,Music Videos
588,"Selena Gomez, Camilo - 999 (Official Video)",SelenaGomezVEVO,2021-08-27T00:00:10Z,27949376,1031308,56801,cJTmumMot1U,PL7A5913233C7361C5,Music Videos
589,Doja Cat - Need To Know (Official Live Performance) | Vevo,dojacatVEVO,2021-08-06T16:00:20Z,12176252,424674,8415,cBL6on_lJZE,PLjL_xsNpjUAPlCmdufBqkrtfKQUEN6zNR,Vevo Official Live Performances
590,Doja Cat - Love To Dream (Official Live Performance) | Vevo,dojacatVEVO,2021-07-06T16:00:21Z,7687272,215537,7195,pOZpy3vlNwE,PLjL_xsNpjUAPlCmdufBqkrtfKQUEN6zNR,Vevo Official Live Performances
591,Doja Cat - Ain't Shit (Official Live Performance) | Vevo,dojacatVEVO,2021-07-02T16:00:01Z,64529363,1256673,21700,13MvatpPQv4,PLjL_xsNpjUAPlCmdufBqkrtfKQUEN6zNR,Vevo Official Live Performances
592,"Doja Cat, The Weeknd - You Right (Official Video)",dojacatVEVO,2021-06-25T04:00:10Z,241597382,3007808,69409,JXgV1rXUoME,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
593,"Doja Cat, The Weeknd - You Right (Official Video)",dojacatVEVO,2021-06-25T04:00:10Z,241597382,3007808,69409,JXgV1rXUoME,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
594,"Doja Cat, The Weeknd - You Right (Official Video)",dojacatVEVO,2021-06-25T04:00:10Z,241597382,3007808,69409,JXgV1rXUoME,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
595,"Doja Cat, The Weeknd - You Right (Official Video)",dojacatVEVO,2021-06-25T04:00:10Z,241597382,3007808,69409,JXgV1rXUoME,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
596,Doja Cat - The Tale of Becoming Doja Cat | Vevo LIFT,dojacatVEVO,2020-07-31T16:00:09Z,1509370,85822,2990,H1o_G1h9Trc,PLjL_xsNpjUANEEEASHIifuLOYMeX3NGKW,Vevo LIFT
