,Vid-Title,Playlist-Name,channel-Title,Views,Published-date,Likes,Comment-count,Vid-ID
413,The Weeknd - The Zone (Live on Later...With Jools Holland) [HD],The Weeknd,Lavezzi,348351,2012-12-01T12:16:38Z,2293,261,8jAmR3chv1Q
414,The Weeknd - High For This (Live on Later...With Jools Holland) [HD],The Weeknd,Lavezzi,486189,2012-12-01T12:21:36Z,2491,280,UkaIZT4xvqs
415,Creepin' (Remix) (Official Video),The Weeknd,MetroBoominVEVO,16569464,2023-03-17T15:00:08Z,299429,5331,6DWjiWEmxME
416,The Weeknd - Is There Someone Else?,The Weeknd,TheWeekndVEVO,26036992,2023-01-07T17:00:02Z,632753,14454,1XqIWr_WqM4
417,The Weeknd: After Hours Nightmare – Halloween Horror Nights 2022,The Weeknd,Halloween Horror Nights,515029,2022-07-26T16:16:05Z,9622,555,DEQRHplYpWs
418,The Weeknd - Out of Time (Official Video),The Weeknd,TheWeekndVEVO,93081388,2022-04-05T13:00:10Z,1603660,42063,2fDzCWNS3ig
419,The Weeknd - 103.5 DAWN FM,The Weeknd,TheWeekndVEVO,12672692,2022-01-17T11:00:21Z,226111,7765,hWlYEaxubRY
420,"The Weeknd, Swedish House Mafia - Sacrifice (Remix / Alternate World)",The Weeknd,TheWeekndVEVO,11181068,2022-01-12T05:00:30Z,243582,7573,lu7lJ5okjyo
421,The Weeknd - Gasoline (Official Music Video),The Weeknd,TheWeekndVEVO,16477163,2022-01-11T14:00:21Z,342757,12933,iOa7uE23qc4
422,The Weeknd - Sacrifice,The Weeknd,TheWeekndVEVO,60024808,2022-01-07T20:00:09Z,933395,32455,VafTMsrnSTU
423,The Weeknd - Die For You (Official Music Video),The Weeknd,TheWeekndVEVO,74365467,2021-11-25T05:00:15Z,1451837,33893,uPD0QOGTmMI
424,Swedish House Mafia and The Weeknd - Moth To A Flame (Official Lyric Video),The Weeknd,SHMVEVO,1200156,2021-10-26T16:00:20Z,33004,802,goi92D59kIg
425,Swedish House Mafia and The Weeknd - Moth To A Flame (Official Video),The Weeknd,TheWeekndVEVO,80487552,2021-10-22T04:00:11Z,1106751,31623,u9n7Cw-4_HQ
426,The Weeknd - Take My Breath (Official Music Video),The Weeknd,TheWeekndVEVO,149238340,2021-08-06T04:00:09Z,1758171,58877,rhTl_OyehF8
427,The Weeknd & Ariana Grande - Save Your Tears (Remix) (Official Video),The Weeknd,TheWeekndVEVO,273272607,2021-04-23T04:00:06Z,3523195,91903,LIIDh-qI9oI
428,The Weeknd’s FULL Pepsi Super Bowl LV Halftime Show,The Weeknd,NFL,60452222,2021-02-08T01:57:48Z,1550514,125276,9rhadTURsrw
429,The Weeknd - Save Your Tears (Official Music Video),The Weeknd,TheWeekndVEVO,1229019198,2021-01-05T17:00:12Z,8067903,282866,XXYlFuWEuKI
430,The Weeknd - Too Late (Official Video),The Weeknd,TheWeekndVEVO,20729912,2020-10-22T19:00:09Z,649453,35491,Wh8DT09QCHI
431,The Weeknd - In Your Eyes ft Kenny G (Time100 Live Performance),The Weeknd,The Weeknd,4850717,2020-09-25T23:04:05Z,138610,5670,I3f05qYeVl8
432,The Weeknd - Blinding Lights (Chromatics Remix Music Video),The Weeknd,The Weeknd,8589370,2020-05-05T19:00:11Z,224070,5621,imOUKPruPHk
433,The Weeknd - In Your Eyes (Official Video),The Weeknd,TheWeekndVEVO,103054252,2020-03-23T16:00:10Z,1302779,45919,dqRZDebPIGs
434,The Weeknd - Until I Bleed Out (Official Video),The Weeknd,TheWeekndVEVO,21493629,2020-04-07T16:00:31Z,417120,14354,i58MNnk6BhY
435,The Weeknd - After Hours (Short Film),The Weeknd,TheWeekndVEVO,13309958,2020-03-04T16:00:11Z,438709,17827,oq9AgxHvGjw
436,The Weeknd - Blinding Lights (Official Video),The Weeknd,TheWeekndVEVO,727379459,2020-01-21T18:00:10Z,9276229,287557,4NRXx6U8ABQ
437,The Weeknd - Heartless (Official Video),The Weeknd,TheWeekndVEVO,176923787,2019-12-03T22:30:12Z,2085300,66843,1DpH-icPpl0
438,Album Title,The Weeknd,The Weeknd,2382672,2020-02-13T19:24:50Z,116704,5583,0dXLhjAxUl8
439,American Dad — The Weeknd’s Dark Secret,The Weeknd,The Weeknd,15471456,2020-05-05T05:30:02Z,742299,25762,S7OTZMopkUg
440,The Weeknd - Call Out My Name (Official Video),The Weeknd,TheWeekndVEVO,879951688,2018-04-12T16:00:04Z,6215007,123774,M4ZoCHID9GI
441,The Weeknd - In The Night (Official Video),The Weeknd,TheWeekndVEVO,89935519,2015-12-09T00:00:01Z,754281,28113,2iFa5We6zqw
442,The Weeknd - The Hills remix feat. Eminem ( A Virtual Reality Experience),The Weeknd,The Weeknd,3892030,2015-10-20T22:31:42Z,73207,2652,2fhjdtQDcOo
443,The Weeknd - Can't Feel My Face (Official Video),The Weeknd,TheWeekndVEVO,1341289344,2015-07-29T16:00:02Z,6678050,191813,KEI4qSrkPAs
